,Users,Comments
1695,blueslady26,@TheMattEvers we've had rain rain rain today 
1696,amtaindiana,I wish they had distributed it to us in advance so we could read it 
1697,traceystamps, At least today is ok.
1698,wutnot,"@whedonesque Yeah! Thanks, Simon. Saw it on .com. BTW, can I please join whedonesque.com? Been unable 2 do so for yrs. Dying inside w/o. "
1699,keshandkitty,@jmebbk yeh me too. I once saw a drunk dude asleep on the street and somebody had sprayed wanker with an arrow pointing at him. No camera 
1700,SabrinaInDE,I can't help but keep feeling sad about all these hounds losing their homes 
1701,SuburbanFiasco,wow so there are ads and viruses on this thing already huh? lame 
1702,petitegreek88,@AC_1 I'm so bummed I'm going to miss the show today 
1703,trevinf,Got to go to work. Its Saturday 
1704,misswhatevz,Just watched slumdog millionaire - it's a great film! Horrible to see how some people live  x
1705,giordanofroggy,@mileycyrus come to the philippines with metro station! 
1706,walldawg,Still feeling baaaad here... Still under my covers. Wish I was harder 
1707,durkaderekdurka,the weather is so gross 
1708,ForeverbyKylene,@marybethtyson oh geez...I walked in the other day &amp; the Express was closed. I have no reason to go to that mall anymore! 
1709,TylerIngram,"@PhotoCriticNews When you tweet something with FredParker, it ALWAYS has the same title "
1710,alyssacmi,Summers here...im not that excited  ....
1711,DavidTaylor_85,"misses his friends, his parents, Harris and home. "
1712,itzelmb,I'm sleepy on the saturday and wondering what happened to that Air France flight. Not good for my fear of flying. 
1713,extravagoose,is comfort eating... not good 
1714,til3rr,@moshette OMFG i want to play sims 3! 
1715,igortizz,"@ChelsMacIntyre aaaah! nothing up!  just the same here...!^^( school,and school,and more school! Ã‚Â¬Ã‚Â¬..the only fun i have is my sims 3"
1716,matt_olsen,sending my Tamron 17-50mm f/2.8 lens back to Tamron due to its front-focusing issues.  
1717,israelramos,finally got everything out of the rent house yesterday and cleaned it up.  Still have my car and a truck camper over there though  
1718,illionaire,"@HipHopUpdate You mean, Drake's first single is NOT gonna feature the St. Lunatics? "
1719,marianaguidil,"@tommcfly i voted for you! but, you're bad tom! you never answer me! i'm sending messages every day! but is always the same thing! "
1720,Echo_Park,Great photoshoot!  Work experience is now finished. 
1721,evilnik,wanted to see star trek today. but ended loafing around. and my backs still hurting really bad  but played hitman bloodmoney.
1722,ToriaZ,"Finding american apparel, then going to Birmingham. I forgot I had lipstick on and smered it across my face. "
1723,Milo_Myage,ARRRRGGGHHHHH!!!!!! Just found a spider in my bed! I'm gonna have nightmares for days 
1724,AuntieGingerJo,Seriously slept shitty. Can't win. Someone kept callin and hangin up bout 130 
1725,CubanPrincess97,still sick  ! A day of shoppin shld make me feel betta...thankz 4 da suggestion PoohBeezy...I like da way u think
1726,ashleychelle316,Peacefully awaiting her shots   http://twitpic.com/6qvv0
1727,benscratch,No &quot;Business of the Year&quot; gong at last night's awards 
1728,levalley,"@fitprosarah Bummer!  It wil b over soon when u move! Yea! Meanwhile, how can we have them break up again so u can sleep?! Clients 2day?"
1729,IvanaE,Thats soooo not fair!!! The US iTunes has ALL of Lady GaGa's videos and the UK ostore has just 2 
1730,lamaru,Thanks to twitter I know exactly when I was sick last time. It was in September. My lucky streak is over. Here comes the cold 
1731,Second2NoneLtd,plastic benchboxing + scratched up body = ghetto weightlifting gone bad 
1732,risinwonderland,"@alfpyfla lol yeah i read those, there are some pretty good australian ones too. but i srsly cbf to find them at the moment. soz "
1733,kingofthenerds,"Marketing done, now off to Scarborough to fix toilets "
1734,MemphisNikki,"My little sister is on her way to Dallas, TX to start her new life. I miss her already "
1735,JRLeone,Working on a Saturday 
1736,runfromzelda,"I was so bored that i napped for a little too long. My dad's sick.  He feels cold when it's like, 45Ã‚Â°C out."
1737,shamekko,@jeremyjaeger I can't see it on my phone  I dunno abt 09's of anything. This is my first car I'm buying.
1738,breanna,Horrible flight. Kid kicking my seat for 6 hours during a red eye and i'm welcomed to rainy oregon 
1739,peachynene,Ow. I cannot sleep because I have a toothache. That can't be good. 
1740,adamadshead,"@revolutiongym All over now, we all lost our 1st match  oh well, calorie time! I ended up fighting at 122.5lbs with the gi on, that's mad!"
1741,spattzzz,"yes, blinking Ã‚Â£1300 &amp; that was in the sale, the guy was not a haggler and didn't fancy tossing for it "
1742,the_1prince,Soooo I need more followerz  tell ur followers to follow me...plzzz
1743,candylouu,@bobbiandmike Does a canceled wedding happen often? Almost makes me feel sad. 
1744,Michelle_1219,http://twitpic.com/6qvxl Helooooo Waffle House! Didn't realize just how far down South we were. Sadly no @NKOTB in sight 
1745,me_liliana,damn...last night was crazy!!! im going to miss mi loca!!! 
1746,yuriozeki,I am missing ho-mui like a fat kid misses cake...  She's prolly somewhere in the corn fields driving away...forgetting us...
1747,natepr,@eatatfriendlys I just went to get my free icecream and appaaaarently it doesn't start till 12! wtf 
1748,Avas_Writer,@Juliet17101 oh yeah! I knew I recognised him when he came into Corrie! What a come down 
1749,Misssixter,@shanedawson  I Want the new vid!!!...........  ..
1750,CheriseCobb,Im in a really bad mood 
1751,Esquiremodel,@katishias what's up ma? How u get 900 followers and u started in march  lol
1752,mslovely8,@BUNCHiEB awww they all gone now  i sorry
1753,karolynlindsey,@bowwow614 SICK! im losing my voice. 
1754,kaitlinurka,@chadly643 aww. Tell me about it. I've been gone two days and already miss you guys 
1755,kfalci,@RocketJoy I tried to find it online but couldn't  Congrats!
1756,RebeccaTDarcy,@shelly_76 i don't know... it's hard breathing...  what about you?
1757,MrMoobs,"@Hammerette_ I was watching it on Justin.tv, but as I was copying and pasting the link the feed went down and now I cant find another "
1758,betalabs,@CommenTweeter glad your twittering missing the game 
1759,kellsmania,Now That Jayz Dropped DOA the unemployment rate has risen  I seen a lot of lines for day jobs this AM
1760,Elliethinks,Chiara is gone  and I'm watching a Muppets movie...not sure which one though...
1761,eberhardte,looks like it is going to be another boring Saturday around the house 
1762,Vixyfairy,@bowwow614 Im chilling listening to music while my boyfriends on his xbox and wont let me play  lol x
1763,londonfox,Think I now have a comprehensive list of what I need for London to Brighton. Going to cost a small fortune though. 
1764,helloLIYANA,"is upset. NineWest, you disappoint me "
1765,robertholiday,"@juiceegapeach when a person has more followers than you. i know it's meaningless.Ii have 570 and they have 11,000. i feel unloved "
1766,KateShadow,Katkat's llama is feeling sick today...  Wandering around in her backyard. Go to katkat75's youtube channel to see a video our little  ...
1767,cenderellaa,@mileycyrus and for the canadian fans ? 
1768,Starasia24,Im gettin' ready for ANOTHER CHURCH BANQUET...  lollllzzzz
1769,KEVIN528,Time to get my braces.  this is gunna hurt.
1770,sanjive01,Man...where did Terence Trent D'arby disappear...he was so talented! 
1771,Moonchild67,"@deanoshoes Bad luck  I do the same thing when i have a bet, don't see the point of backing such short odds.."
1772,mmiller0912,@cutecaboose my hubby hasn't built my clothesline yet... i will be putting mine in the dryer. 
1773,Me_KeeWee,I've been searching for starburst jellybeans for over a month with no luck...I'm going thru withdrawls. 
1774,samanatrix,"@SalemWildfire *sigh* I know, I'm going to be broke all the time. "
1775,adrianpesebre,@demilovato565 hey demi  you and miley are close friends right ??
1776,kelsilove,feels really bad because I never looked at all of my replies  SORRY GUYS!
1777,ZBoogie,"@mrgoldenboy: ok, imma find it. I gotta download an updated version of BB justfor ubertwitter, but I don't have a usb cord "
1778,meganekendrick,@JazOnVinyl  I want to go back home with you guys so bad. Screw Bonnaroo and Disney World. I miss New Orleans.
1779,mickiii,dang. I really miss jacob  just like in the books...it was like he was my own personal sun.
1780,villum,Backpacking in south India...and the monsoon just hit 
1781,ihavetherabies,"Well, I just punched a wall until my knuckles bled. I don't like being yelled at first thing in the morning. "
1782,EasyLuckyFreeXO,F you to menstrual cycles and cramps. 
1783,melisaaxx,revising for my exams 
1784,beckyhope,Why am I so cooold ...I can't even type on my phone properly because my thumbs are so stiff from the coldness 
1785,maikeblahblah,@mileycyrus come to germany 
1786,srkballard,Weather still not cooperating 
1787,theglados,Har sett ferdig Stargate SG-1 Sesong 8  Is finished with Stargate SG-1 Season 8 
1788,nikievers,my bracelet from nick santino is breaking 
1789,mmaayyeettee,i feel like throwing up 
1790,banannamongoose,"Sick, stuck in bed, and can't even hold Bella. What a miserable day "
1791,mishraanurag,getting bored at home.. no one to hang out with... need help 
1792,spitsdadawn,@PicturePerfect8 made me think of my g-ma 
1793,rinahannah,ain nobody tryna be at work this early 
1794,davemcdermid,This is not BBQ weather  but my car's clean so every cloud..
1795,simplyjess120,@Heban ughhhh i was thinkin of going after i left the movies but wasnt dressed  whachall doing today?
1796,Dilladillon,I wanna watch more but @dilladillon too tired of it 
1797,emilycwootton,i think my wisdom tooth is coming through 
1798,Ikyuki,"oh. my. gosh. i had an old tea pot and the water evaporated, so i put more water in it, and the bottom fell out  i'm scared"
1799,scollaboy,Go back to home from baseball 2 games lost... 
1800,WeeNee1,How?? Can someone help me pack my luggage bag??? 
1801,PattersSue,Joes dip is the devil...i think i gained the 14 lbs i lost back. 
1802,atischer,I was soooo looking forward to shopping and Cheesecake Factory 
1803,vivbro,Still raining..............     
1804,GossipGurl95,Its raining where i am!!  hope the weather is better where you guys are!!
1805,N_H_Mitchell,"Our beloved toaster oven still toasts, but it no longer ovens.  "
1806,iSheena,@ShibbyJinkies Kimmmmm  we gotta hang out.  sorry im bad at txting ive been uber busy at work and then when i get home my brain like melts
1807,cyrakirsten,is it possible to have a web diary or something? it'd be waaaaay easier to type than write on a journal  xxxxxx
1808,shaztanya,watching the suite life with tyler lol! after that i have to make my history homework again 
1809,Seub74,Is off to Ozfest?  
1810,marianaguidil,"@tommcfly i voted for you! but, you're bad tom! you never answer me! i'm sending messages every day! but is always the same thing! "
1811,Kendralicious,I want to eat too 
1812,xXDaRk8AnGeLXx,sad...  my super awesome science teacher isn't coming back next year... we got a model lesson on thurs from some other dude... he's wierd.
1813,josordoni,@spattzzz I know.      that is the reason I don;t have one!! LOL
1814,i_am_mclovin,"I should be going down the pub today, but due to lack of ID 'til Tuesday and the struggle that was Thursday (I still got in!) I can't. "
1815,Erin_6,wanna sleep but my grandma is yelling at me to get up 
1816,yamstersg,oh man i want straight hair now 
1817,ems_london,@fionamccarthy miss you? I am catching up on hollyoaks and it is a bit upsetting that Justin has left 
1818,fizzylogic,@Gallops UNTIL AUGUST?!  Lame. Man. I just lame o.o
1819,Melissa_Wright,"whats happened to the weather, arghh englands so crap "
1820,futuresocialite,@24cotton I get nervous too!! I've done it a lot but I still get nervous every time  do you have to speak today? If so good luck!!
1821,kirylyn,"@BedazzledInk is SOOO jealous, ever since the Miami Sol folded  who's playing??"
1822,mdenlife,says ...what to do during this time of i dont know...  http://plurk.com/p/ywkvq
1823,vanitalo,"Hate it when it's late, I'm tired, and I can't sleep "
1824,miguelstdancer,"Its Official Guys, I'm a bad person  *sad face* xoxo."
1825,Tor66,Listenin 2 @tinchystryder new track &amp; tryin 2 find Gossip Girl finale ep online.....but my laptop keeps freezin grrrrrrrrr 
1826,Mz_Quita,Isn't is sooooo cute how couples start to look alike after being together for so long.... 
1827,MandaNoel23,Getting ready to watch the parade today...but it's so windy out 
1828,watthefish,"chatting..booring,,, "
1829,babyblues7985,@mitchelmusso sounds like so much fun!!!  Wish I was there...unfortunately I'm on the east coast 
1830,tamakinicole,"On the 5 North and it just started to rain  damn I knew I should have got gas in LA. Kettleman city here I come, in about 2 hours "
1831,gina0star,i accidentally cleared my memory card of all the photos of my work in their frames that i took at home  that's sad!
1832,connster9700,@Mickie_1 Hi Mickie and will do. Sorry for your long workday 
1833,La_Tue,Wanna go to Italy and have a nice summertime there. Weather isnÃ‚Â´t awesome in Hamburg 
1834,Murderdollii,blarg. gotta work now. 
1835,Tomocheer,I miss you.Stay by my side right now  boohoo!!!
1836,enricohenriquez,@DjaylikD aw its not cool !  loveyou!!!
